,firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,gender,carrier
528,name529,lastname529,February,11,1997,BS Legal Management,+639274695706,Female,Globe
529,name530,lastname530,November,18,1997,BS Management Engineering,+639274447700,Male,Globe
530,name531,lastname531,November,19,2000,BS Management,+639276223854,Male,Globe
531,name532,lastname532,October,9,1998,BS Information Technology Entrepreneurship,+639179109162,Male,Globe
532,name533,lastname533,May,4,2001,BS Information Technology Entrepreneurship,+639273739316,Male,Globe
533,name534,lastname534,May,23,2001,BS Communications Technology Management,+639172511124,Female,Globe
534,name535,lastname535,March,4,1997,BS Management Engineering,+639275777471,Male,Globe
535,name536,lastname536,June,15,2000,BS Information Technology Entrepreneurship,+639181381962,Female,Smart
536,name537,lastname537,April,13,1998,BS Legal Management,+639277928939,Female,Globe
537,name538,lastname538,March,9,1999,BS Management,+639278308250,Male,Globe
538,name539,lastname539,November,18,1998,BS Management,+639181944060,Male,Smart
539,name540,lastname540,February,4,1997,BS Management Engineering,+639189213557,Male,Smart
540,name541,lastname541,October,20,1997,BS Management,+639184144111,Female,Smart
541,name542,lastname542,March,5,1997,BS Information Technology Entrepreneurship,+639183409046,Female,Smart
542,name543,lastname543,June,4,1998,BS Management,+639274851284,Female,Globe
543,name544,lastname544,November,22,1998,BS Communications Technology Management,+639271517167,Male,Globe
544,name545,lastname545,February,7,1999,BS Management Engineering,+639271147594,Female,Globe
545,name546,lastname546,December,21,1998,BS Management,+639179372325,Male,Globe
546,name547,lastname547,November,9,1998,BS Legal Management,+639274319754,Female,Globe
547,name548,lastname548,June,3,1997,BS Legal Management,+639274258002,Male,Globe
548,name549,lastname549,June,20,2000,BS Management,+639175815639,Male,Globe
549,name550,lastname550,March,12,1998,BS Communications Technology Management,+639185807526,Female,Smart
550,name551,lastname551,February,11,1997,BS Legal Management,+639175564934,Male,Globe
551,name552,lastname552,March,26,1997,BS Legal Management,+639278223280,Female,Globe
552,name553,lastname553,November,5,1998,BS Information Technology Entrepreneurship,+639272643760,Male,Globe
553,name554,lastname554,November,28,2001,BS Information Technology Entrepreneurship,+639178861007,Male,Globe
554,name555,lastname555,April,21,2001,BS Management,+639183645430,Female,Smart
555,name556,lastname556,January,19,1998,BS Management Engineering,+639274408339,Female,Globe
556,name557,lastname557,April,22,1998,BS Management Engineering,+639179253058,Male,Globe
557,name558,lastname558,August,24,1999,BS Management Engineering,+639174743597,Female,Globe
558,name559,lastname559,August,1,2001,BS Legal Management,+639181959569,Male,Smart
559,name560,lastname560,December,15,1997,BS Management,+639175514269,Female,Globe
560,name561,lastname561,December,26,1999,BS Legal Management,+639181778086,Female,Smart
561,name562,lastname562,January,8,1999,BS Management Engineering,+639272176451,Female,Globe
562,name563,lastname563,December,18,1999,BS Communications Technology Management,+639173639982,Female,Globe
563,name564,lastname564,March,23,1999,BS Information Technology Entrepreneurship,+639272958046,Female,Globe
564,name565,lastname565,August,26,1997,BS Management Engineering,+639172495815,Female,Globe
565,name566,lastname566,February,11,1997,BS Management Engineering,+639277486818,Female,Globe
566,name567,lastname567,August,2,1997,BS Management,+639187936810,Female,Smart
567,name568,lastname568,January,6,1999,BS Management Engineering,+639172258310,Female,Globe
568,name569,lastname569,October,10,2001,BS Management,+639175741808,Female,Globe
569,name570,lastname570,August,21,2000,BS Communications Technology Management,+639186895703,Female,Smart
570,name571,lastname571,March,27,1999,BS Information Technology Entrepreneurship,+639272938314,Male,Globe
571,name572,lastname572,March,8,1998,BS Legal Management,+639177144402,Male,Globe
572,name573,lastname573,June,13,2000,BS Information Technology Entrepreneurship,+639274953274,Female,Globe
573,name574,lastname574,December,6,1999,BS Legal Management,+639273137592,Female,Globe
574,name575,lastname575,May,15,1997,BS Management Engineering,+639178127658,Male,Globe
575,name576,lastname576,November,3,1997,BS Legal Management,+639189732935,Male,Smart
576,name577,lastname577,December,17,1997,BS Communications Technology Management,+639184043126,Female,Smart
577,name578,lastname578,September,14,2001,BS Communications Technology Management,+639183355068,Female,Smart
578,name579,lastname579,August,4,1998,BS Communications Technology Management,+639183042412,Male,Smart
579,name580,lastname580,January,8,1998,BS Information Technology Entrepreneurship,+639183481352,Female,Smart
580,name581,lastname581,December,26,1999,BS Management,+639188804150,Female,Smart
581,name582,lastname582,May,24,1999,BS Management Engineering,+639174949681,Female,Globe
582,name583,lastname583,August,11,1997,BS Management Engineering,+639189898679,Male,Smart
583,name584,lastname584,June,11,1998,BS Management Engineering,+639273593617,Male,Globe
584,name585,lastname585,September,22,1999,BS Legal Management,+639175055839,Male,Globe
585,name586,lastname586,August,27,1999,BS Information Technology Entrepreneurship,+639278452484,Male,Globe
586,name587,lastname587,February,19,1999,BS Management,+639272821066,Female,Globe
587,name588,lastname588,November,24,1997,BS Management,+639276158231,Female,Globe
588,name589,lastname589,September,19,1999,BS Information Technology Entrepreneurship,+639179849015,Male,Globe
589,name590,lastname590,April,18,1998,BS Management Engineering,+639176935469,Female,Globe
590,name591,lastname591,November,16,2000,BS Management Engineering,+639189551464,Male,Smart
591,name592,lastname592,August,2,1999,BS Information Technology Entrepreneurship,+639175112548,Female,Globe
592,name593,lastname593,March,17,1998,BS Information Technology Entrepreneurship,+639189251254,Male,Smart
593,name594,lastname594,May,10,1997,BS Information Technology Entrepreneurship,+639279437120,Male,Globe
594,name595,lastname595,October,9,2000,BS Management Engineering,+639171798860,Female,Globe
595,name596,lastname596,April,14,1997,BS Management Engineering,+639275975052,Female,Globe
596,name597,lastname597,June,13,2001,BS Management,+639174726191,Female,Globe
597,name598,lastname598,December,9,1998,BS Management,+639272693083,Male,Globe
598,name599,lastname599,March,3,1997,BS Management,+639278697453,Female,Globe
599,name600,lastname600,August,23,1999,BS Management,+639279298643,Male,Globe
600,name601,lastname601,June,7,2000,BS Management Engineering,+639271997786,Male,Globe
601,name602,lastname602,January,27,1997,BS Communications Technology Management,+639272447754,Female,Globe
602,name603,lastname603,August,24,1999,BS Information Technology Entrepreneurship,+639175185769,Male,Globe
603,name604,lastname604,September,16,1999,BS Information Technology Entrepreneurship,+639184678650,Male,Smart
604,name605,lastname605,March,16,1997,BS Communications Technology Management,+639189559875,Female,Smart
605,name606,lastname606,July,27,1997,BS Information Technology Entrepreneurship,+639176061240,Male,Globe
606,name607,lastname607,April,5,1999,BS Management Engineering,+639175076695,Male,Globe
607,name608,lastname608,September,13,2000,BS Legal Management,+639186314366,Female,Smart
608,name609,lastname609,January,18,1998,BS Management Engineering,+639172081541,Male,Globe
609,name610,lastname610,November,21,1998,BS Management,+639178853585,Male,Globe
610,name611,lastname611,November,4,2000,BS Legal Management,+639177237524,Male,Globe
611,name612,lastname612,March,8,1999,BS Management,+639182377442,Male,Smart
612,name613,lastname613,August,13,1999,BS Management,+639273643609,Female,Globe
613,name614,lastname614,November,24,1999,BS Information Technology Entrepreneurship,+639173731567,Female,Globe
614,name615,lastname615,December,1,1999,BS Legal Management,+639276106904,Male,Globe
615,name616,lastname616,August,13,1997,BS Information Technology Entrepreneurship,+639271169499,Female,Globe
616,name617,lastname617,January,28,1999,BS Communications Technology Management,+639271835286,Female,Globe
617,name618,lastname618,July,22,1999,BS Management Engineering,+639186472458,Male,Smart
618,name619,lastname619,August,25,1997,BS Legal Management,+639274434773,Female,Globe
619,name620,lastname620,September,20,1999,BS Information Technology Entrepreneurship,+639184301349,Female,Smart
620,name621,lastname621,April,6,1997,BS Legal Management,+639271328496,Female,Globe
621,name622,lastname622,October,24,1997,BS Legal Management,+639184049712,Female,Smart
622,name623,lastname623,September,23,1997,BS Information Technology Entrepreneurship,+639177221395,Female,Globe
623,name624,lastname624,March,8,1999,BS Management Engineering,+639184003947,Male,Smart
624,name625,lastname625,July,1,1999,BS Information Technology Entrepreneurship,+639278987936,Female,Globe
625,name626,lastname626,April,9,2000,BS Management Engineering,+639187961250,Female,Smart
626,name627,lastname627,November,2,2001,BS Communications Technology Management,+639187603341,Male,Smart
627,name628,lastname628,February,2,2001,BS Communications Technology Management,+639182956097,Male,Smart
628,name629,lastname629,September,7,1999,BS Communications Technology Management,+639173872390,Female,Globe
629,name630,lastname630,September,18,1997,BS Information Technology Entrepreneurship,+639172522745,Male,Globe
630,name631,lastname631,August,28,1998,BS Legal Management,+639176779021,Male,Globe
631,name632,lastname632,February,19,1999,BS Information Technology Entrepreneurship,+639189143596,Female,Smart
632,name633,lastname633,January,21,1998,BS Information Technology Entrepreneurship,+639177785734,Male,Globe
633,name634,lastname634,December,15,2001,BS Information Technology Entrepreneurship,+639187116376,Male,Smart
634,name635,lastname635,March,1,1998,BS Communications Technology Management,+639183017164,Female,Smart
635,name636,lastname636,January,21,1997,BS Legal Management,+639182509975,Female,Smart
636,name637,lastname637,October,28,1999,BS Communications Technology Management,+639171072793,Male,Globe
637,name638,lastname638,February,13,1997,BS Information Technology Entrepreneurship,+639175162992,Female,Globe
638,name639,lastname639,June,26,1999,BS Management,+639171006833,Male,Globe
639,name640,lastname640,December,25,1998,BS Management Engineering,+639277506394,Female,Globe
640,name641,lastname641,February,25,1997,BS Information Technology Entrepreneurship,+639279321706,Female,Globe
641,name642,lastname642,April,1,1997,BS Legal Management,+639181142489,Female,Smart
642,name643,lastname643,October,17,1997,BS Management Engineering,+639276923282,Female,Globe
643,name644,lastname644,May,12,1999,BS Communications Technology Management,+639181539747,Male,Smart
644,name645,lastname645,March,24,1999,BS Information Technology Entrepreneurship,+639173417232,Male,Globe
645,name646,lastname646,January,27,1999,BS Legal Management,+639183889301,Female,Smart
646,name647,lastname647,April,17,1998,BS Management,+639175486974,Female,Globe
647,name648,lastname648,October,4,1999,BS Communications Technology Management,+639178646776,Male,Globe
648,name649,lastname649,September,16,2001,BS Legal Management,+639175539701,Female,Globe
649,name650,lastname650,August,19,1999,BS Information Technology Entrepreneurship,+639186088148,Female,Smart
650,name651,lastname651,August,23,1999,BS Information Technology Entrepreneurship,+639279667629,Female,Globe
651,name652,lastname652,May,19,1997,BS Legal Management,+639276213475,Male,Globe
652,name653,lastname653,January,15,1999,BS Management,+639178702139,Female,Globe
653,name654,lastname654,June,26,2000,BS Management Engineering,+639278994314,Male,Globe
654,name655,lastname655,June,25,1999,BS Legal Management,+639174391927,Female,Globe
655,name656,lastname656,April,2,1998,BS Information Technology Entrepreneurship,+639178233564,Female,Globe
656,name657,lastname657,November,27,1997,BS Communications Technology Management,+639179114843,Male,Globe
657,name658,lastname658,April,1,2001,BS Management,+639173691137,Female,Globe
658,name659,lastname659,April,26,1998,BS Information Technology Entrepreneurship,+639274325001,Male,Globe
659,name660,lastname660,January,21,1997,BS Management Engineering,+639176398097,Female,Globe
660,name661,lastname661,July,17,1998,BS Information Technology Entrepreneurship,+639172169154,Male,Globe
661,name662,lastname662,May,23,1997,BS Management Engineering,+639175574445,Male,Globe
662,name663,lastname663,November,17,1998,BS Communications Technology Management,+639275634960,Male,Globe
663,name664,lastname664,September,27,1999,BS Management,+639179534447,Male,Globe
664,name665,lastname665,November,26,1997,BS Information Technology Entrepreneurship,+639276496652,Male,Globe
665,name666,lastname666,January,27,2001,BS Management Engineering,+639177076263,Male,Globe
666,name667,lastname667,June,12,1997,BS Legal Management,+639182028547,Female,Smart
667,name668,lastname668,September,18,2001,BS Information Technology Entrepreneurship,+639273482643,Male,Globe
668,name669,lastname669,June,10,1998,BS Legal Management,+639185298529,Male,Smart
669,name670,lastname670,November,25,1998,BS Communications Technology Management,+639277615499,Female,Globe
670,name671,lastname671,August,17,1997,BS Information Technology Entrepreneurship,+639171089053,Male,Globe
671,name672,lastname672,January,25,1997,BS Communications Technology Management,+639278265387,Male,Globe
672,name673,lastname673,January,9,1997,BS Legal Management,+639176828954,Female,Globe
673,name674,lastname674,September,1,1997,BS Legal Management,+639179183752,Female,Globe
674,name675,lastname675,October,4,1998,BS Legal Management,+639178225318,Female,Globe
675,name676,lastname676,June,1,2000,BS Management,+639183471908,Female,Smart
676,name677,lastname677,May,10,1999,BS Information Technology Entrepreneurship,+639179456761,Female,Globe
677,name678,lastname678,November,12,1997,BS Management,+639272575703,Female,Globe
678,name679,lastname679,December,10,1999,BS Legal Management,+639189866170,Male,Smart
679,name680,lastname680,March,19,1997,BS Information Technology Entrepreneurship,+639275189390,Female,Globe
680,name681,lastname681,March,3,1997,BS Communications Technology Management,+639174477903,Female,Globe
681,name682,lastname682,March,4,1997,BS Management,+639273203223,Female,Globe
682,name683,lastname683,November,21,1999,BS Management,+639186359209,Female,Smart
683,name684,lastname684,May,18,1999,BS Communications Technology Management,+639188952615,Male,Smart
684,name685,lastname685,February,19,1998,BS Legal Management,+639278023408,Male,Globe
685,name686,lastname686,May,10,1998,BS Management Engineering,+639274313048,Male,Globe
686,name687,lastname687,December,4,1998,BS Legal Management,+639273654153,Male,Globe
687,name688,lastname688,March,12,1997,BS Management Engineering,+639179414103,Male,Globe
688,name689,lastname689,September,26,1999,BS Management Engineering,+639189807439,Male,Smart
689,name690,lastname690,February,9,2000,BS Legal Management,+639179781093,Female,Globe
690,name691,lastname691,March,24,2001,BS Communications Technology Management,+639188954043,Male,Smart
691,name692,lastname692,May,9,1997,BS Communications Technology Management,+639183504336,Female,Smart
692,name693,lastname693,July,23,1998,BS Legal Management,+639178157555,Male,Globe
693,name694,lastname694,October,17,2000,BS Management,+639185148276,Male,Smart
694,name695,lastname695,July,23,1998,BS Management Engineering,+639181396470,Male,Smart
695,name696,lastname696,August,20,1997,BS Management,+639276084332,Female,Globe
696,name697,lastname697,August,8,1997,BS Legal Management,+639185577838,Male,Smart
697,name698,lastname698,February,4,1998,BS Management,+639179904565,Female,Globe
698,name699,lastname699,October,1,1998,BS Management,+639178522643,Female,Globe
699,name700,lastname700,July,10,2001,BS Management,+639173492949,Male,Globe
700,name701,lastname701,June,5,1999,BS Management,+639177886744,Male,Globe
701,name702,lastname702,May,15,1998,BS Communications Technology Management,+639183607098,Female,Smart
702,name703,lastname703,June,14,1997,BS Legal Management,+639274419452,Male,Globe
703,name704,lastname704,October,14,1997,BS Management,+639172212593,Female,Globe
704,name705,lastname705,December,13,1998,BS Communications Technology Management,+639279393466,Female,Globe
705,name706,lastname706,November,20,2001,BS Legal Management,+639175164721,Male,Globe
706,name707,lastname707,December,4,2000,BS Management Engineering,+639185464373,Male,Smart
707,name708,lastname708,May,27,1997,BS Legal Management,+639278993173,Male,Globe
708,name709,lastname709,November,11,1998,BS Management,+639177575871,Male,Globe
709,name710,lastname710,November,9,1998,BS Communications Technology Management,+639189683488,Female,Smart
710,name711,lastname711,March,4,1997,BS Management Engineering,+639183661192,Female,Smart
711,name712,lastname712,July,21,1999,BS Information Technology Entrepreneurship,+639279499293,Male,Globe
712,name713,lastname713,February,3,2001,BS Management Engineering,+639173238702,Male,Globe
713,name714,lastname714,December,20,1998,BS Management,+639182189517,Male,Smart
714,name715,lastname715,May,4,1998,BS Management,+639273382750,Female,Globe
715,name716,lastname716,March,12,1998,BS Legal Management,+639176638547,Male,Globe
716,name717,lastname717,May,26,1999,BS Communications Technology Management,+639186564865,Female,Smart
717,name718,lastname718,February,12,1997,BS Management,+639186574923,Female,Smart
718,name719,lastname719,September,16,1998,BS Legal Management,+639175882431,Male,Globe
719,name720,lastname720,February,2,2001,BS Legal Management,+639174964484,Female,Globe
720,name721,lastname721,September,3,1999,BS Information Technology Entrepreneurship,+639274762773,Male,Globe
721,name722,lastname722,June,19,1999,BS Communications Technology Management,+639178583626,Female,Globe
722,name723,lastname723,September,10,1999,BS Communications Technology Management,+639277877491,Female,Globe
723,name724,lastname724,September,7,2001,BS Management,+639175351270,Male,Globe
724,name725,lastname725,January,14,1998,BS Management,+639185604115,Female,Smart
725,name726,lastname726,June,23,1997,BS Management Engineering,+639181678692,Female,Smart
726,name727,lastname727,February,7,1997,BS Management,+639279293994,Female,Globe
727,name728,lastname728,June,13,1997,BS Communications Technology Management,+639273093402,Male,Globe
728,name729,lastname729,January,24,1998,BS Management,+639183548194,Male,Smart
729,name730,lastname730,November,7,1999,BS Management,+639171815471,Male,Globe
730,name731,lastname731,October,12,1998,BS Management Engineering,+639178021065,Female,Globe
731,name732,lastname732,October,9,1999,BS Communications Technology Management,+639277524483,Female,Globe
732,name733,lastname733,November,13,1999,BS Communications Technology Management,+639277514676,Male,Globe
733,name734,lastname734,November,26,1998,BS Management,+639183359195,Male,Smart
734,name735,lastname735,February,10,1998,BS Management,+639172993945,Female,Globe
735,name736,lastname736,February,13,1998,BS Legal Management,+639272111491,Male,Globe
736,name737,lastname737,November,23,2001,BS Information Technology Entrepreneurship,+639272167464,Male,Globe
737,name738,lastname738,July,7,2000,BS Management Engineering,+639188834422,Female,Smart
738,name739,lastname739,April,12,1999,BS Legal Management,+639175855181,Female,Globe
739,name740,lastname740,March,20,1998,BS Legal Management,+639173504703,Female,Globe
740,name741,lastname741,September,5,1998,BS Communications Technology Management,+639177225363,Female,Globe
741,name742,lastname742,September,2,1997,BS Management Engineering,+639181987932,Female,Smart
742,name743,lastname743,July,14,1998,BS Information Technology Entrepreneurship,+639179546667,Female,Globe
743,name744,lastname744,October,28,1997,BS Information Technology Entrepreneurship,+639275097514,Female,Globe
744,name745,lastname745,October,5,1998,BS Management,+639277966417,Male,Globe
745,name746,lastname746,December,7,2001,BS Information Technology Entrepreneurship,+639276983622,Male,Globe
746,name747,lastname747,December,18,1999,BS Information Technology Entrepreneurship,+639187468659,Male,Smart
747,name748,lastname748,April,5,2001,BS Management,+639175614001,Female,Globe
748,name749,lastname749,February,17,1997,BS Management Engineering,+639271637846,Female,Globe
749,name750,lastname750,December,1,1997,BS Management,+639276593077,Male,Globe
750,name751,lastname751,November,19,1998,BS Information Technology Entrepreneurship,+639176823751,Male,Globe
751,name752,lastname752,April,11,2000,BS Legal Management,+639271112887,Female,Globe
752,name753,lastname753,June,1,2000,BS Communications Technology Management,+639188094167,Female,Smart
753,name754,lastname754,June,15,2000,BS Management,+639173807974,Female,Globe
754,name755,lastname755,June,16,2000,BS Management Engineering,+639182348018,Male,Smart
755,name756,lastname756,August,16,1999,BS Management,+639177382557,Female,Globe
756,name757,lastname757,December,13,1999,BS Management Engineering,+639276656829,Male,Globe
757,name758,lastname758,December,15,1998,BS Communications Technology Management,+639271039845,Male,Globe
758,name759,lastname759,November,15,1999,BS Information Technology Entrepreneurship,+639187161196,Male,Smart
759,name760,lastname760,April,21,1997,BS Communications Technology Management,+639178892089,Male,Globe
760,name761,lastname761,March,22,1998,BS Management,+639175365199,Female,Globe
761,name762,lastname762,January,7,2001,BS Management Engineering,+639272013572,Male,Globe
762,name763,lastname763,October,25,1998,BS Legal Management,+639277738564,Male,Globe
763,name764,lastname764,April,27,1999,BS Legal Management,+639275629584,Female,Globe
764,name765,lastname765,November,21,2000,BS Communications Technology Management,+639275738454,Female,Globe
765,name766,lastname766,June,13,1998,BS Information Technology Entrepreneurship,+639176375575,Male,Globe
766,name767,lastname767,February,14,1999,BS Management Engineering,+639272931334,Male,Globe
767,name768,lastname768,April,6,2000,BS Legal Management,+639171668658,Female,Globe
768,name769,lastname769,June,28,1997,BS Information Technology Entrepreneurship,+639181089862,Male,Smart
769,name770,lastname770,April,4,2001,BS Management Engineering,+639172042709,Male,Globe
770,name771,lastname771,December,27,2000,BS Management Engineering,+639278826056,Male,Globe
771,name772,lastname772,May,12,1997,BS Management Engineering,+639271616194,Female,Globe
772,name773,lastname773,December,1,1999,BS Legal Management,+639189066087,Female,Smart
773,name774,lastname774,July,7,1999,BS Management Engineering,+639276581298,Male,Globe
774,name775,lastname775,October,3,1997,BS Information Technology Entrepreneurship,+639174244286,Female,Globe
775,name776,lastname776,November,16,1998,BS Management Engineering,+639189392456,Male,Smart
776,name777,lastname777,December,7,1998,BS Legal Management,+639278705781,Male,Globe
777,name778,lastname778,November,19,1998,BS Information Technology Entrepreneurship,+639273958840,Female,Globe
778,name779,lastname779,February,26,1999,BS Legal Management,+639172706901,Male,Globe
779,name780,lastname780,March,23,1999,BS Management,+639179526452,Male,Globe
780,name781,lastname781,June,18,2001,BS Information Technology Entrepreneurship,+639274183742,Male,Globe
781,name782,lastname782,January,7,1997,BS Management Engineering,+639182338431,Male,Smart
782,name783,lastname783,January,13,2001,BS Communications Technology Management,+639182197061,Male,Smart
783,name784,lastname784,October,13,1998,BS Management,+639272989517,Male,Globe
784,name785,lastname785,November,10,1999,BS Communications Technology Management,+639188535737,Male,Smart
785,name786,lastname786,January,20,1999,BS Management Engineering,+639177316873,Male,Globe
786,name787,lastname787,May,6,1999,BS Legal Management,+639279273411,Female,Globe
787,name788,lastname788,December,10,1999,BS Information Technology Entrepreneurship,+639183041152,Female,Smart
788,name789,lastname789,June,6,1998,BS Management Engineering,+639274794510,Female,Globe
789,name790,lastname790,November,8,1999,BS Management Engineering,+639175417757,Male,Globe
790,name791,lastname791,February,2,1998,BS Management,+639188921734,Male,Smart
791,name792,lastname792,June,28,1998,BS Legal Management,+639175518650,Female,Globe
792,name793,lastname793,January,19,2000,BS Management,+639184687521,Male,Smart
793,name794,lastname794,April,17,1999,BS Communications Technology Management,+639172419293,Male,Globe
794,name795,lastname795,July,20,1999,BS Legal Management,+639178057437,Female,Globe
795,name796,lastname796,June,28,1998,BS Management,+639274945884,Female,Globe
796,name797,lastname797,September,27,1999,BS Management,+639178462976,Male,Globe
797,name798,lastname798,October,8,1999,BS Management,+639179827959,Male,Globe
798,name799,lastname799,October,6,1997,BS Legal Management,+639177634267,Male,Globe
799,name800,lastname800,October,4,2000,BS Management Engineering,+639279259558,Male,Globe
800,name801,lastname801,July,9,1998,BS Communications Technology Management,+639182228588,Female,Smart
801,name802,lastname802,September,20,2000,BS Legal Management,+639174328589,Female,Globe
802,name803,lastname803,September,8,1999,BS Management Engineering,+639271411347,Male,Globe
803,name804,lastname804,January,4,2000,BS Communications Technology Management,+639183354115,Female,Smart
804,name805,lastname805,February,22,1999,BS Management,+639276722746,Male,Globe
805,name806,lastname806,September,16,1998,BS Management Engineering,+639178945967,Female,Globe
806,name807,lastname807,August,16,1999,BS Management,+639172938858,Male,Globe
807,name808,lastname808,February,5,1997,BS Legal Management,+639173406918,Female,Globe
808,name809,lastname809,March,16,1999,BS Legal Management,+639175424578,Female,Globe
809,name810,lastname810,July,27,2001,BS Management,+639274885698,Male,Globe
810,name811,lastname811,September,12,1997,BS Legal Management,+639177106722,Female,Globe
811,name812,lastname812,April,3,2000,BS Information Technology Entrepreneurship,+639273121350,Male,Globe
812,name813,lastname813,July,22,1998,BS Information Technology Entrepreneurship,+639279308635,Male,Globe
813,name814,lastname814,September,24,2001,BS Legal Management,+639186746521,Male,Smart
814,name815,lastname815,May,28,1997,BS Management,+639173789770,Male,Globe
815,name816,lastname816,October,22,2000,BS Management Engineering,+639177447100,Male,Globe
816,name817,lastname817,May,23,2000,BS Legal Management,+639276178372,Female,Globe
817,name818,lastname818,May,5,1997,BS Management Engineering,+639181147136,Female,Smart
818,name819,lastname819,March,2,2000,BS Information Technology Entrepreneurship,+639278422036,Male,Globe
819,name820,lastname820,May,8,2001,BS Management,+639173182989,Male,Globe
820,name821,lastname821,December,20,2001,BS Management,+639189367960,Female,Smart
821,name822,lastname822,February,28,1998,BS Legal Management,+639184177143,Female,Smart
822,name823,lastname823,February,26,1998,BS Communications Technology Management,+639278924500,Female,Globe
823,name824,lastname824,June,28,1997,BS Legal Management,+639184819803,Female,Smart
824,name825,lastname825,December,10,1998,BS Management Engineering,+639178193783,Male,Globe
825,name826,lastname826,January,1,1998,BS Communications Technology Management,+639181262024,Female,Smart
826,name827,lastname827,November,21,1997,BS Management,+639275623224,Female,Globe
827,name828,lastname828,July,13,2000,BS Management Engineering,+639183087447,Female,Smart
828,name829,lastname829,September,7,2001,BS Management,+639174479808,Female,Globe
829,name830,lastname830,August,19,1999,BS Management,+639275497794,Male,Globe
830,name831,lastname831,January,2,1999,BS Information Technology Entrepreneurship,+639172391786,Female,Globe
831,name832,lastname832,August,20,1998,BS Communications Technology Management,+639277635312,Female,Globe
832,name833,lastname833,September,15,2000,BS Information Technology Entrepreneurship,+639174177432,Female,Globe
833,name834,lastname834,May,15,2001,BS Communications Technology Management,+639171167049,Female,Globe
834,name835,lastname835,August,25,2001,BS Legal Management,+639185736898,Male,Smart
835,name836,lastname836,March,26,2001,BS Management Engineering,+639279319624,Female,Globe
836,name837,lastname837,November,14,2000,BS Communications Technology Management,+639278576715,Female,Globe
837,name838,lastname838,December,13,2001,BS Communications Technology Management,+639187479833,Male,Smart
838,name839,lastname839,September,3,1998,BS Management,+639174944004,Male,Globe
839,name840,lastname840,October,22,1998,BS Communications Technology Management,+639276778540,Female,Globe
840,name841,lastname841,August,20,1999,BS Management,+639177231059,Male,Globe
841,name842,lastname842,July,22,1999,BS Information Technology Entrepreneurship,+639274075637,Female,Globe
842,name843,lastname843,April,4,1997,BS Management,+639278738336,Female,Globe
843,name844,lastname844,May,28,1999,BS Management Engineering,+639172842175,Male,Globe
844,name845,lastname845,September,7,1998,BS Information Technology Entrepreneurship,+639184501669,Male,Smart
845,name846,lastname846,September,1,1997,BS Legal Management,+639183376525,Female,Smart
846,name847,lastname847,November,15,1998,BS Management Engineering,+639279631010,Female,Globe
847,name848,lastname848,August,17,1999,BS Information Technology Entrepreneurship,+639187821125,Female,Smart
848,name849,lastname849,September,15,1997,BS Communications Technology Management,+639271589777,Male,Globe
849,name850,lastname850,November,16,2001,BS Management Engineering,+639184542076,Female,Smart
850,name851,lastname851,July,4,1997,BS Legal Management,+639186814113,Female,Smart
851,name852,lastname852,July,1,1997,BS Legal Management,+639274028839,Female,Globe
852,name853,lastname853,June,21,2000,BS Communications Technology Management,+639271803943,Male,Globe
853,name854,lastname854,September,6,1997,BS Information Technology Entrepreneurship,+639181753354,Male,Smart
854,name855,lastname855,February,23,1998,BS Management Engineering,+639178163618,Female,Globe
855,name856,lastname856,May,7,1998,BS Management,+639271199872,Female,Globe
856,name857,lastname857,September,13,1998,BS Legal Management,+639177953886,Female,Globe
857,name858,lastname858,April,18,2000,BS Information Technology Entrepreneurship,+639271066957,Male,Globe
858,name859,lastname859,November,20,2001,BS Legal Management,+639185139069,Female,Smart
859,name860,lastname860,April,19,1997,BS Management Engineering,+639187135212,Female,Smart
860,name861,lastname861,December,27,1998,BS Information Technology Entrepreneurship,+639186854917,Female,Smart
861,name862,lastname862,July,3,1998,BS Management,+639275811326,Male,Globe
862,name863,lastname863,February,12,2001,BS Management,+639276186967,Female,Globe
863,name864,lastname864,July,12,1999,BS Legal Management,+639183571556,Male,Smart
864,name865,lastname865,May,17,2001,BS Legal Management,+639176936203,Male,Globe
865,name866,lastname866,May,16,1998,BS Legal Management,+639272486994,Male,Globe
866,name867,lastname867,March,28,1997,BS Information Technology Entrepreneurship,+639171436591,Male,Globe
867,name868,lastname868,January,11,1999,BS Management Engineering,+639172993591,Male,Globe
868,name869,lastname869,July,27,1997,BS Communications Technology Management,+639275921019,Male,Globe
869,name870,lastname870,January,11,1999,BS Communications Technology Management,+639181557151,Male,Smart
870,name871,lastname871,July,7,1999,BS Communications Technology Management,+639174036185,Female,Globe
871,name872,lastname872,March,23,1997,BS Communications Technology Management,+639174202785,Female,Globe
872,name873,lastname873,May,17,1999,BS Management Engineering,+639189663409,Female,Smart
873,name874,lastname874,January,10,1998,BS Communications Technology Management,+639186466350,Female,Smart
874,name875,lastname875,June,17,2001,BS Information Technology Entrepreneurship,+639274005224,Female,Globe
875,name876,lastname876,February,21,2001,BS Communications Technology Management,+639189086977,Female,Smart
876,name877,lastname877,August,27,2001,BS Information Technology Entrepreneurship,+639186389959,Female,Smart
877,name878,lastname878,July,22,1999,BS Legal Management,+639186165326,Male,Smart
878,name879,lastname879,December,25,1998,BS Management Engineering,+639181397536,Male,Smart
879,name880,lastname880,March,17,1998,BS Management Engineering,+639175335972,Female,Globe
